seqnames	start	end	width	strand	transcript_id	gene_name
chr1	11873	11874	1	+	NR_046018.2	DDX11L1
chr1	29925	29926	1	+	XR_001737835.1	LOC107985730
chr1	30365	30366	1	+	NR_036051.1	MIR1302-2
chr1	51942	51943	1	+	XR_948874.1	LOC105379212
chr1	69090	69091	1	+	NM_001005484.1	OR4F5
chr1	181048	181049	1	+	XM_011543808.2	LOC102725121
chr1	200441	200442	1	+	XR_001737606.1	LOC107985721
chr1	778759	778760	1	+	XR_001737594.1	LOC105378580
chr1	785926	785927	1	+	XR_108279.4	LOC100287934
chr1	817370	817371	1	+	NR_103536.1	FAM87B
chr1	827590	827591	1	+	NR_047526.1	LINC01128
chr1	860225	860226	1	+	XR_001737607.1	LOC107984850
chr1	905114	905115	1	+	XR_001737588.1	LOC284600
chr1	925740	925741	1	+	NM_152486.2	SAMD11
chr1	960102	960103	1	+	XM_006710601.3	KLHL17
chr1	965819	965820	1	+	XM_017002479.1	PLEKHN1
chr1	1013466	1013467	1	+	NM_005101.3	ISG15
chr1	1020101	1020102	1	+	XM_011541429.2	AGRN
chr1	1059706	1059707	1	+	XR_001737601.1	LOC100288175
chr1	1137016	1137017	1	+	NR_038869.1	LINC01342
chr1	1167103	1167104	1	+	NR_029639.1	MIR200B
chr1	1167862	1167863	1	+	NR_029834.1	MIR200A
chr1	1169004	1169005	1	+	NR_029957.1	MIR429
chr1	1173708	1173709	1	+	XR_001737089.1	TTLL10
chr1	1232248	1232249	1	+	NM_080605.3	B3GALT6
chr1	1274001	1274002	1	+	XR_946815.1	LOC101928895
chr1	1280414	1280415	1	+	XM_011541933.2	SCNN1D
chr1	1308561	1308562	1	+	XM_005244720.3	PUSL1
chr1	1324755	1324756	1	+	XM_005244802.1	CPTP
chr1	1331323	1331324	1	+	XM_017002436.1	TAS1R3
chr1	1399529	1399530	1	+	NR_015434.1	LOC148413
chr1	1420244	1420245	1	+	XR_946814.1	LOC105378585
chr1	1426127	1426128	1	+	NM_001146685.1	TMEM88B
chr1	1433232	1433233	1	+	XM_017003066.1	LOC107985729
chr1	1435522	1435523	1	+	NM_199121.2	VWA1
chr1	1449688	1449689	1	+	NM_001039211.2	ATAD3C
chr1	1471731	1471732	1	+	XM_011542241.2	ATAD3B
chr1	1512142	1512143	1	+	XM_017001628.1	ATAD3A
chr1	1600313	1600314	1	+	XR_946818.2	LOC105378586
chr1	1615187	1615188	1	+	XM_017000351.1	MIB2
chr1	1631680	1631681	1	+	XM_017002617.1	MMP23B
chr1	1692542	1692543	1	+	XR_001737839.1	LOC107985731
chr1	1699938	1699939	1	+	NR_002946.1	MMP23A
chr1	1891056	1891057	1	+	XM_017003074.1	LOC105378949
chr1	1913750	1913751	1	+	XM_005244729.3	CALML6
chr1	1955856	1955857	1	+	XR_001737842.1	LOC107984872
chr1	2019328	2019329	1	+	NM_000815.4	GABRD
chr1	2050469	2050470	1	+	NM_002744.4	PRKCZ
chr1	2207012	2207013	1	+	XR_946826.1	LOC105378593
chr1	2228694	2228695	1	+	NM_003036.3	SKI
chr1	2391313	2391314	1	+	XM_011540543.1	RER1
chr1	2412480	2412481	1	+	XM_017002873.1	PLCH2
chr1	2555766	2555767	1	+	XM_017002721.1	TNFRSF14
chr1	2566534	2566535	1	+	NR_121638.1	LOC100996583
chr1	2586459	2586460	1	+	NR_036638.1	FAM213B
chr1	2633110	2633111	1	+	XR_946839.1	LOC105378597
chr1	2701376	2701377	1	+	XR_946870.2	LOC105378602
chr1	2762487	2762488	1	+	XR_946868.2	LOC105378601
chr1	2763418	2763419	1	+	XR_946862.1	LOC105378598
chr1	2764563	2764564	1	+	XR_001737864.1	LOC107985732
chr1	2766072	2766073	1	+	XR_946866.2	LOC105378600
chr1	2771825	2771826	1	+	XR_001737863.1	LOC107984904
chr1	2773494	2773495	1	+	XR_946864.1	LOC105378599
chr1	3021481	3021482	1	+	NM_080431.4	ACTRT2
chr1	3069024	3069025	1	+	XM_005244773.4	PRDM16
chr1	3127974	3127975	1	+	NR_036215.1	MIR4251
chr1	3191944	3191945	1	+	XR_001737869.1	LOC107984909
chr1	3454582	3454583	1	+	NM_014448.3	ARHGEF16
chr1	3546964	3546965	1	+	XR_946886.2	LOC105378608
chr1	3602894	3602895	1	+	XR_946884.2	LOC105378607
chr1	3624991	3624992	1	+	NM_182752.3	TPRG1L
chr1	3652564	3652565	1	+	NM_001204186.1	TP73
chr1	3752397	3752398	1	+	XR_001736992.1	CCDC27
chr1	3772760	3772761	1	+	NM_001288583.1	SMIM1
chr1	3857142	3857143	1	+	XM_017000498.1	DFFB
chr1	3900403	3900404	1	+	NR_024455.1	LINC01134
chr1	3940611	3940612	1	+	NR_040065.1	LINC01346
chr1	3972915	3972916	1	+	XR_001737874.1	LOC105376673
chr1	4412050	4412051	1	+	NR_027088.1	LOC284661
chr1	4432145	4432146	1	+	XR_946895.1	LOC105376674
chr1	4571513	4571514	1	+	XR_001737877.1	LOC105376679
chr1	4603687	4603688	1	+	XR_001737775.1	LOC107985376
chr1	4654774	4654775	1	+	XM_011541786.2	AJAP1
chr1	4973390	4973391	1	+	XR_946900.1	LOC105376680
chr1	4997368	4997369	1	+	XR_001737878.1	LOC102724429
chr1	5131855	5131856	1	+	XR_946906.2	LOC105376682
chr1	5564070	5564071	1	+	NR_039612.1	MIR4417
chr1	5992297	5992298	1	+	NM_001199861.1	KCNAB2
chr1	6131762	6131763	1	+	XR_946912.1	LOC105376687
chr1	6205474	6205475	1	+	XR_001737161.1	RNF207
chr1	6236239	6236240	1	+	NR_103534.1	LINC00337
chr1	6244191	6244192	1	+	NM_001024598.3	HES3
chr1	6424775	6424776	1	+	XM_011542237.1	ESPN
chr1	6555277	6555278	1	+	NM_177540.2	TAS1R1
chr1	6579966	6579967	1	+	XR_001737135.1	ZBTB48
chr1	6613695	6613696	1	+	NM_153812.2	PHF13
chr1	6624644	6624645	1	+	XM_005263532.3	THAP3
chr1	6724744	6724745	1	+	NR_104620.1	LOC100505887
chr1	6785323	6785324	1	+	NM_015215.3	CAMTA1
chr1	7503369	7503370	1	+	XR_001737887.1	LOC105376691
chr1	7771268	7771269	1	+	NM_004781.3	VAMP3
chr1	7784284	7784285	1	+	XM_017002728.1	PER3
chr1	7961653	7961654	1	+	NM_001123377.1	PARK7
chr1	8077122	8077123	1	+	XR_001737890.1	LOC107984914
chr1	8208671	8208672	1	+	NR_125998.1	LOC102724539
chr1	8240089	8240090	1	+	XR_946937.2	LOC105376695
chr1	8318084	8318085	1	+	NM_001080397.2	SLC45A1
chr1	8424644	8424645	1	+	NR_125999.1	LOC102724552
chr1	8878834	8878835	1	+	NR_038351.1	ENO1-AS1
chr1	8945785	8945786	1	+	XM_011542084.2	CA6
chr1	9182203	9182204	1	+	NR_132738.1	LOC102724571
chr1	9234766	9234767	1	+	XM_006711052.3	H6PD
chr1	9292881	9292882	1	+	NM_025106.3	SPSB1
chr1	9539468	9539469	1	+	NM_032315.2	SLC25A33
chr1	9588842	9588843	1	+	XR_244785.3	TMEM201
chr1	9614640	9614641	1	+	XM_017003077.1	LOC107985734
chr1	9629888	9629889	1	+	XM_017001477.1	PIK3CD
chr1	9850772	9850773	1	+	XR_946952.2	LOC105376717
chr1	9942922	9942923	1	+	NM_001297778.1	NMNAT1
chr1	9967380	9967381	1	+	NR_049882.1	MIR5697
chr1	9997196	9997197	1	+	NM_052960.2	RBP7
chr1	10032982	10032983	1	+	NM_006048.4	UBE4B
chr1	10210705	10210706	1	+	NM_183416.3	KIF1B
chr1	10227717	10227718	1	+	NR_036176.1	MIR1273D
chr1	10398991	10398992	1	+	NM_001304451.1	PGD
chr1	10430101	10430102	1	+	NM_199294.2	APITD1
chr1	10430101	10430102	1	+	NM_199006.2	APITD1-CORT
chr1	10449718	10449719	1	+	NM_001302.4	CORT
chr1	10474945	10474946	1	+	XM_011541580.1	PEX14
chr1	11012621	11012622	1	+	NM_007375.3	TARDBP
chr1	11099674	11099675	1	+	NR_135062.1	LOC105376736
chr1	11143897	11143898	1	+	NR_046600.1	MTOR-AS1
chr1	11189288	11189289	1	+	NM_021146.3	ANGPTL7
chr1	11273197	11273198	1	+	NM_013319.2	UBIAD1
chr1	11357944	11357945	1	+	XR_946958.2	LOC105376739
chr1	11371745	11371746	1	+	XR_001737779.1	LOC105376740
chr1	11479154	11479155	1	+	XR_946717.2	DISP3
chr1	11609530	11609531	1	+	NR_104624.1	LOC101929181
chr1	11654374	11654375	1	+	XM_005263537.1	FBXO44
chr1	11664092	11664093	1	+	NM_018438.5	FBXO6
chr1	11686634	11686635	1	+	XM_017001215.1	DRAXIN
chr1	11736084	11736085	1	+	NM_001040195.1	AGTRAP
chr1	11762187	11762188	1	+	XM_017001064.1	C1orf167
chr1	11806095	11806096	1	+	NM_001256959.1	CLCN6
chr1	11840318	11840319	1	+	NR_037806.1	NPPA-AS1
chr1	11908153	11908154	1	+	NR_002754.2	RNU5E-1
chr1	11934666	11934667	1	+	NM_000302.3	PLOD1
chr1	11980180	11980181	1	+	NM_001127660.1	MFN2
chr1	12019241	12019242	1	+	NM_021933.3	MIIP
chr1	12029157	12029158	1	+	NR_106787.1	MIR6729
chr1	12063317	12063318	1	+	XM_011542441.2	TNFRSF8
chr1	12166942	12166943	1	+	NR_107000.1	MIR7846
chr1	12166947	12166948	1	+	XM_017002211.1	TNFRSF1B
chr1	12191712	12191713	1	+	NR_039775.2	MIR4632
chr1	12214241	12214242	1	+	XR_001737895.1	LOC107984917
chr1	12230038	12230039	1	+	NM_018156.3	VPS13D
chr1	12507245	12507246	1	+	NR_003025.1	SNORA59A
chr1	12525255	12525256	1	+	XR_001737780.1	LOC105376744
chr1	12644546	12644547	1	+	NM_001013630.1	AADACL4
chr1	12716114	12716115	1	+	NR_111984.1	AADACL3
chr1	12746185	12746186	1	+	NM_152290.3	C1orf158
chr1	12774847	12774848	1	+	NM_001080830.4	PRAMEF12
chr1	12791396	12791397	1	+	NM_023013.4	PRAMEF1
chr1	12857085	12857086	1	+	NM_023014.1	PRAMEF2
chr1	12916646	12916647	1	+	NM_001012277.4	PRAMEF7
chr1	13061231	13061232	1	+	NM_001146181.2	HNRNPCL3
chr1	13073677	13073678	1	+	NM_001310134.1	PRAMEF25
chr1	13127068	13127069	1	+	NR_111945.1	PRAMEF36P
chr1	13175280	13175281	1	+	NM_001010890.2	PRAMEF9
chr1	13254197	13254198	1	+	NM_001013407.2	PRAMEF5
chr1	13303538	13303539	1	+	NM_001291381.1	PRAMEF33P
chr1	13315580	13315581	1	+	NM_001098376.2	PRAMEF15
chr1	13389631	13389632	1	+	NM_001099851.3	PRAMEF17
chr1	13410449	13410450	1	+	NM_001099852.2	PRAMEF20
chr1	13486843	13486844	1	+	XR_426659.3	LOC102724856
chr1	13513219	13513220	1	+	XR_001737896.1	LOC107984918
chr1	13583756	13583757	1	+	NM_198389.2	PDPN
chr1	13623125	13623126	1	+	XR_001737897.1	LOC107984919
chr1	13670193	13670194	1	+	XR_946968.2	LOC105378612
chr1	13698874	13698875	1	+	XM_017002264.1	PRDM2
chr1	13893386	13893387	1	+	XM_011541074.2	KAZN
chr1	14214242	14214243	1	+	XR_001737611.1	LOC107985467
chr1	15152417	15152418	1	+	XM_017001590.1	TMEM51
chr1	15236558	15236559	1	+	XM_011540598.2	FHAD1
chr1	15409894	15409895	1	+	NM_024329.5	EFHD2
chr1	15438441	15438442	1	+	NM_007272.2	CTRC
chr1	15456727	15456728	1	+	NM_033440.2	CELA2A
chr1	15476100	15476101	1	+	NM_015849.2	CELA2B
chr1	15526693	15526694	1	+	XR_001737078.1	DNAJC16
chr1	15617457	15617458	1	+	NM_032341.4	DDI2
chr1	15659712	15659713	1	+	NM_006511.2	RSC1A1
chr1	15681505	15681506	1	+	XM_017000758.1	PLEKHM2
chr1	15735087	15735088	1	+	XM_011541293.1	SLC25A34
chr1	15742491	15742492	1	+	NM_001013641.2	TMEM82
chr1	15756170	15756171	1	+	XM_017001522.1	FBLIM1
chr1	15847863	15847864	1	+	NM_015001.2	SPEN
chr1	16004235	16004236	1	+	NM_178840.3	C1orf64
chr1	16021990	16021991	1	+	NM_001257139.1	CLCNKA
chr1	16043735	16043736	1	+	NM_000085.4	CLCNKB
chr1	16154995	16154996	1	+	XR_001737899.1	LOC101927479
chr1	16367029	16367030	1	+	NR_073500.1	SZRD1
chr1	16440671	16440672	1	+	NM_001145278.1	NECAP2
chr1	16460947	16460948	1	+	XR_001737912.1	LOC107984921
chr1	16535817	16535818	1	+	XM_016999988.1	FAM231B
chr1	16613597	16613598	1	+	XR_001737914.1	LOC105376794
chr1	16645573	16645574	1	+	NR_027504.1	MST1P2
chr1	16673002	16673003	1	+	NM_001282321.1	FAM231A
chr1	16740515	16740516	1	+	NR_004421.1	RNU1-4
chr1	16895979	16895980	1	+	NR_004427.1	RNU1-2
chr1	16914081	16914082	1	+	XM_006711058.3	CROCC
chr1	16976292	16976293	1	+	XR_947003.2	LOC105376806
chr1	17135664	17135665	1	+	XR_947005.2	LOC105376808
chr1	17192964	17192965	1	+	XR_001737781.1	LOC400743
chr1	17205122	17205123	1	+	XM_011541307.1	PADI1
chr1	17249078	17249079	1	+	XM_011541572.2	PADI3
chr1	17277888	17277889	1	+	NR_039768.1	MIR3972
chr1	17308194	17308195	1	+	XM_011541155.1	PADI4
chr1	17372195	17372196	1	+	NM_207421.4	PADI6
chr1	17520196	17520197	1	+	XM_006710731.1	ARHGEF10L
chr1	17717572	17717573	1	+	XR_001737783.1	LOC107984028
chr1	17755312	17755313	1	+	NM_030812.2	ACTL8
chr1	18043753	18043754	1	+	XR_947008.2	LOC105376812
chr1	18065656	18065657	1	+	NR_125946.1	LOC101927876
chr1	18107745	18107746	1	+	NM_032880.4	IGSF21
chr1	18480929	18480930	1	+	NM_152375.2	KLHDC7A
chr1	18631005	18631006	1	+	NM_001135254.1	PAX7
chr1	19210385	19210386	1	+	NR_135115.1	LOC101927895
chr1	19251580	19251581	1	+	NM_016183.3	MRTO4
chr1	19312245	19312246	1	+	NM_001287531.1	PQLC2
chr1	19399941	19399942	1	+	XR_947024.2	LOC644083
chr1	19500220	19500221	1	+	XR_001737920.1	LOC105376819
chr1	19596976	19596977	1	+	NM_001204082.1	MINOS1
chr1	19596976	19596977	1	+	NM_001204089.1	MINOS1-NBL1
chr1	19607806	19607807	1	+	NR_077246.1	RPS14P3
chr1	19643228	19643229	1	+	NM_001278164.1	NBL1
chr1	19665286	19665287	1	+	NM_000871.2	HTR6
chr1	19881710	19881711	1	+	XM_005245793.3	OTUD3
chr1	20028349	20028350	1	+	XM_011541592.2	PLA2G5
chr1	20139325	20139326	1	+	XM_011541956.1	PLA2G2F
chr1	20183105	20183106	1	+	XM_011540699.2	UBXN10
chr1	20197305	20197306	1	+	XR_947031.2	LOC105376825
chr1	20243110	20243111	1	+	XR_947033.2	LOC105376827
chr1	20271603	20271604	1	+	XR_001737788.1	LOC105376828
chr1	20290906	20290907	1	+	XM_011540692.2	VWA5B1
chr1	20552438	20552439	1	+	NM_207334.2	FAM43B
chr1	20588950	20588951	1	+	NM_001785.2	CDA
chr1	20633454	20633455	1	+	NM_032409.2	PINK1
chr1	20633678	20633679	1	+	NR_106732.1	MIR6084
chr1	20903704	20903705	1	+	XR_001737921.1	LOC105376830
chr1	20919270	20919271	1	+	XR_947039.2	LOC105376829
chr1	21293289	21293290	1	+	NR_038404.1	LOC100506801
chr1	21436774	21436775	1	+	XM_011542281.1	NBPF3
chr1	21508981	21508982	1	+	XM_005245818.1	ALPL
chr1	21585689	21585690	1	+	XR_947046.2	LOC105376834
chr1	21812208	21812209	1	+	XM_005245873.4	LDLRAD2
chr1	21976893	21976894	1	+	NM_007352.3	CELA3B
chr1	22001655	22001656	1	+	NM_005747.4	CELA3A
chr1	22025190	22025191	1	+	NR_023918.2	LINC00339
chr1	22052626	22052627	1	+	NM_044472.2	CDC42
chr1	22140952	22140953	1	+	XR_947050.1	LOC105376845
chr1	22160962	22160963	1	+	XR_947057.2	LOC105376850
chr1	22252564	22252565	1	+	XR_001737789.1	LOC107985377
chr1	22266238	22266239	1	+	NR_039613.1	MIR4418
chr1	22428837	22428838	1	+	XM_011542499.2	ZBTB40
chr1	22563507	22563508	1	+	XR_946576.1	EPHA8
chr1	22636624	22636625	1	+	NM_015991.2	C1QA
chr1	22643624	22643625	1	+	NM_172369.3	C1QC
chr1	22653188	22653189	1	+	NM_000491.3	C1QB
chr1	22710769	22710770	1	+	XM_006710442.3	EPHB2
chr1	22719516	22719517	1	+	NR_039832.1	MIR4684
chr1	23019442	23019443	1	+	XM_017000717.1	KDM1A
chr1	23044304	23044305	1	+	NR_036057.1	MIR3115
chr1	23368970	23368971	1	+	NR_033690.1	ZNF436-AS1
chr1	23521929	23521930	1	+	NR_110799.1	LOC101928163
chr1	23627333	23627334	1	+	NR_027042.1	MDS2
chr1	23691778	23691779	1	+	NM_001199802.1	RPL11
chr1	23743365	23743366	1	+	NM_003198.2	TCEB3
chr1	23778385	23778386	1	+	NM_020362.4	PITHD1
chr1	23790788	23790789	1	+	XM_017000165.1	LYPLA2
chr1	23910736	23910737	1	+	XR_001737927.1	LOC107984929
chr1	23929069	23929070	1	+	NR_039615.1	MIR378F
chr1	23959163	23959164	1	+	XM_017001691.1	PNRC2
chr1	24010498	24010499	1	+	XR_947072.2	LOC105376863
chr1	24042273	24042274	1	+	XR_001737929.1	LOC107984931
chr1	24066008	24066009	1	+	XR_001737930.1	LOC107985737
chr1	24098017	24098018	1	+	XR_001737928.1	LOC105376864
chr1	24151418	24151419	1	+	XR_001737931.1	LOC107985738
chr1	24200239	24200240	1	+	NR_027087.2	LOC284632
chr1	24319321	24319322	1	+	NM_198173.2	GRHL3
chr1	24413359	24413360	1	+	XM_011541808.2	NIPAL3
chr1	24502350	24502351	1	+	NM_001251984.1	RCAN3
chr1	24556075	24556076	1	+	NM_001010980.4	NCMAP
chr1	24643011	24643012	1	+	XM_017000031.1	SRRM1
chr1	24745268	24745269	1	+	NM_013943.2	CLIC4
chr1	24857081	24857082	1	+	XR_947082.2	LOC105376876
chr1	24924328	24924329	1	+	XR_001737942.1	LOC107984932
chr1	24932453	24932454	1	+	XR_001737940.1	LOC105376878
chr1	25023502	25023503	1	+	NR_039623.1	MIR4425
chr1	25039971	25039972	1	+	XR_001737943.1	LOC105376879
chr1	25272392	25272393	1	+	XM_017002015.1	RHD
chr1	25338297	25338298	1	+	NM_014313.3	TMEM50A
chr1	25430857	25430858	1	+	NM_001282564.1	TMEM57
