seqnames	start	end	width	strand	transcript_id	gene_name
chr1	3361551	3361552	1	+	XR_865166.2	Gm39585
chr1	4595056	4595057	1	+	XR_865168.2	Gm39586
chr1	4608936	4608937	1	+	XR_001778817.1	Gm29874
chr1	4807559	4807560	1	+	XM_006495471.3	Lypla1
chr1	4846845	4846846	1	+	XR_865170.1	Gm39587
chr1	4857693	4857694	1	+	NM_001159750.1	Tcea1
chr1	4968429	4968430	1	+	XR_373197.2	Gm16041
chr1	5082977	5082978	1	+	XM_006495433.3	Atp6v1h
chr1	5588449	5588450	1	+	XM_006495470.1	Oprk1
chr1	6214661	6214662	1	+	NM_009826.4	Rb1cc1
chr1	6359330	6359331	1	+	NM_001195732.1	Fam150a
chr1	6487230	6487231	1	+	NM_001244693.1	St18
chr1	7088891	7088892	1	+	XM_006495536.3	Pcmtd1
chr1	9437053	9437054	1	+	XR_373204.2	Gm30719
chr1	9545407	9545408	1	+	NM_021511.2	Rrs1
chr1	9547934	9547935	1	+	XM_017312699.1	Adhfe1
chr1	9601266	9601267	1	+	NM_178399.4	3110035E14Rik
chr1	9747647	9747648	1	+	NR_040462.1	1700034P13Rik
chr1	9775557	9775558	1	+	XR_865181.2	Gm39590
chr1	9798129	9798130	1	+	NM_177547.3	Sgk3
chr1	9906156	9906157	1	+	XM_017320486.1	Mcmdc2
chr1	10038117	10038118	1	+	XM_006495488.3	Cspp1
chr1	10993271	10993272	1	+	XM_006495441.3	Prex2
chr1	11413562	11413563	1	+	XM_006495541.3	A830018L16Rik
chr1	11979539	11979540	1	+	XR_373206.2	Gm30898
chr1	12425985	12425986	1	+	NR_105759.1	Mir6341
chr1	12667562	12667563	1	+	NR_045297.1	Gm17644
chr1	12692261	12692262	1	+	XM_006495513.3	Sulf1
chr1	13668737	13668738	1	+	XM_006495548.3	Xkr9
chr1	13846499	13846500	1	+	XR_373212.1	Gm31195
chr1	14042253	14042254	1	+	XR_865190.2	Gm39596
chr1	14756150	14756151	1	+	XR_865195.1	LOC105243866
chr1	15287156	15287157	1	+	XM_006495595.3	Kcnb2
chr1	15804981	15804982	1	+	XM_011238367.1	Terf1
chr1	15905204	15905205	1	+	XR_001779753.1	Gm31523
chr1	16053334	16053335	1	+	XR_001778784.1	Gm7634
chr1	16105881	16105882	1	+	NM_133832.3	Rdh10
chr1	16253586	16253587	1	+	XR_865201.2	LOC102634042
chr1	16657551	16657552	1	+	NR_037998.1	D030040B21Rik
chr1	16665190	16665191	1	+	NM_027415.2	Tmem70
